name,keywords,description,background,border_radius,shadows,effects,anti_patterns
Cyberpunk Neon,cyberpunk neon sci-fi futuristic glitch,High-contrast neon colors on dark backgrounds with tech aesthetic,very dark (#0d0d0d #1a0a2e),4-8px,neon glow (0 0 10px #ff00ff 0 0 40px #ff00ff),text-shadow glow; neon borders; glitch animations; scanline overlays,Neon overuse causing eye strain; unreadable text; excessive animation
Monochrome,monochrome grayscale black-white single-color,Single color palette with tonal variations for depth,white to gray spectrum or single hue tonal,4-8px,gray-toned shadows matching palette,tonal contrast for hierarchy; single accent color sparingly,Too flat without tonal variation; introducing off-palette colors; insufficient contrast
Art Deco,art-deco gatsby luxury ornamental geometric,1920s-inspired geometric patterns with gold accents and luxury feel,deep navy (#1a1a3e) or cream (#f5f0e0),0-4px (geometric precision),subtle gold-toned shadows,geometric line patterns; gold foil accents; serif typography,Overdone ornamentation; patterns competing with content; heavy asset files
Scandinavian,scandinavian nordic hygge cozy clean,Nordic-inspired clean design with warmth and natural materials,warm white (#f9f7f4) with wood/natural tones,8-12px,very subtle soft shadows,natural textures (wood grain linen); muted earth tones; generous spacing,Cool sterile whites; cluttered layouts; artificial/synthetic feeling colors
Japanese Minimal,japanese zen wabi-sabi asymmetric,Zen-inspired asymmetric layouts with intentional imperfection,off-white (#f5f3ef) or stone gray,4-12px,barely visible shadows suggesting floating,asymmetric balance; generous whitespace; natural textures; restrained palette,Symmetrical grid layouts; loud colors; decorative excess; perfect geometric shapes
Newspaper Editorial,newspaper editorial print magazine,Print-inspired layout with column grids and strong typography,off-white (#f8f7f4) or light gray,0-2px,none or hairline borders,multi-column grid; drop caps; pull quotes; rule lines; serif hierarchy,Web-native patterns breaking editorial metaphor; too narrow columns on mobile
Swiss/International,swiss helvetica grid modernist clean,Swiss international style with rigid grid and clean sans-serif type,pure white with structured grid,0-4px,minimal or none,strict grid alignment; Helvetica/Grotesk type; limited color; asymmetric balance,Decorative elements; rounded shapes; playful colors; breaking the grid
Vapor Wave,vaporwave retro 80s 90s aesthetic synthwave,80s/90s inspired aesthetic with gradients pastels and retro elements,gradient (pink-to-cyan) or dark purple (#2d1b69),8-16px,colored glow shadows matching palette,linear gradients; chrome text effects; grid lines; sunset imagery,Taking the aesthetic too seriously for functional apps; readability issues
Memphis Design,memphis postmodern bold geometric colorful,Bold geometric shapes contrasting colors and playful patterns,white or bold solid color blocks,varies (mix of sharp and rounded),bold offset shadows in contrasting colors,geometric shape decorations; bold outlines; squiggles and dots; clash colors,Using for serious/professional products; pattern overload; accessibility failures
Frosted Layered,frosted layered depth stacked cards,Multi-layered frosted panels creating depth hierarchy,gradient or image behind frosted layers,12-20px,elevation via blur intensity + shadow,multiple blur layers at different intensities; floating panels,Too many layers causing confusion; performance issues with stacked blurs
Corporate Professional,corporate professional business enterprise,Conservative professional design conveying trust and stability,white (#ffffff) with gray sections (#f5f5f7),4-8px,subtle professional shadows (0 1px 3px rgba(0 0 0 0.08)),clean borders; structured grids; blue/gray palette; system fonts,Trendy effects undermining credibility; playful elements; excessive animation
Gradient Mesh,gradient mesh fluid colorful background,Fluid multi-color gradient backgrounds with mesh-like blending,multi-stop radial/mesh gradients,12-16px,soft colored shadows matching gradient,CSS radial-gradient stacking; animated gradient shifts; glass over gradient,Gradient-on-gradient causing noise; text directly on busy gradient; heavy animation
Hand Drawn,hand-drawn sketch illustration doodle,Hand-drawn illustration style with sketch-like UI elements,white or paper texture (#faf9f6),uneven/wobbly borders,pencil-style offset shadows,SVG hand-drawn borders; sketch font; illustration-heavy; rough.js effects,Inconsistent sketch quality; hard to maintain; mixing with polished elements
