name,keywords,primary,secondary,accent,background,surface,text,description
Indigo Deep,analytics data enterprise dashboard,#4F46E5,#4338CA,#818CF8,#EEF2FF,#FFFFFF,#1E1B4B,Deep indigo for data-heavy analytics dashboards
Peach Soft,wellness meditation calm self-care,#FB7185,#F43F5E,#FECDD3,#FFF5F7,#FFFFFF,#4A0D1A,Soft peach for wellness and self-care applications
Sage Natural,organic natural spa service,#84CC16,#65A30D,#BEF264,#F7FEE7,#FFFFFF,#1A2E05,Natural sage for spa and organic service brands
Charcoal Premium,premium dark professional minimal,#27272A,#18181B,#71717A,#09090B,#18181B,#FAFAFA,Premium dark theme for sophisticated minimal designs
Crimson Bold,media entertainment news bold,#BE123C,#9F1239,#FDA4AF,#FFF1F2,#FFFFFF,#4C0519,Bold crimson for media and entertainment brands
Arctic Cool,winter tech clean modern,#06B6D4,#0891B2,#67E8F9,#ECFEFF,#FFFFFF,#083344,Cool cyan for clean modern tech products
Lavender Dream,creative art design inspiration,#A855F7,#9333EA,#D8B4FE,#FAF5FF,#FFFFFF,#3B0764,Dreamy lavender for creative and artistic platforms
Tangerine Energy,food delivery fast casual vibrant,#EA580C,#C2410C,#FDBA74,#FFF7ED,#FFFFFF,#431407,Energetic tangerine for food delivery and fast casual
Mint Fresh,health nutrition fitness fresh,#10B981,#059669,#6EE7B7,#ECFDF5,#FFFFFF,#064E3B,Fresh mint for health and nutrition applications
Sapphire Trust,insurance legal compliance trust,#1D4ED8,#1E3A8A,#93C5FD,#EFF6FF,#FFFFFF,#1E1B4B,Trustworthy sapphire for insurance and legal
Coral Vibrant,social media community engagement,#F43F5E,#E11D48,#FCA5B0,#FFF1F3,#FFFFFF,#500724,Vibrant coral for social and community platforms
Olive Earth,outdoor adventure travel nature,#65A30D,#4D7C0F,#BEF264,#F7FEE7,#FFFFFF,#1A2E05,Earthy olive for outdoor and adventure brands
Plum Rich,luxury fashion wine premium,#9333EA,#7E22CE,#C084FC,#FAF5FF,#FFFFFF,#3B0764,Rich plum for luxury and fashion
Bronze Vintage,vintage craft artisan traditional,#B45309,#92400E,#FCD34D,#FFFBEB,#FFFFFF,#451A03,Warm bronze for vintage and artisan brands
Aqua Marine,travel cruise ocean vacation,#06B6D4,#0891B2,#67E8F9,#ECFEFF,#FFFFFF,#155E75,Ocean-inspired aqua for travel and vacation
Slate Modern,developer tools code modern,#475569,#334155,#94A3B8,#F8FAFC,#FFFFFF,#0F172A,Modern slate for developer tools and technical products
Neon Cyber,cyberpunk gaming metaverse neon,#22D3EE,#8B5CF6,#F472B6,#0A0A0F,#151520,#E0E7FF,Neon multi-accent for cyberpunk and metaverse
Warm Sand,real-estate property home interior,#D4A574,#B8956A,#E8C9A0,#FAF6F1,#FFFFFF,#3D2E1F,Warm sandy tones for real estate and interior design
Blush Pink,wedding events celebration romantic,#EC4899,#DB2777,#F9A8D4,#FDF2F8,#FFFFFF,#500724,Romantic blush for weddings and celebrations
Graphite Dark,dark-mode premium editor tool,#374151,#1F2937,#6B7280,#111827,#1F2937,#F9FAFB,Dark graphite for premium dark-mode applications
Honey Gold,marketplace auction premium value,#CA8A04,#A16207,#FDE047,#FEFCE8,#FFFFFF,#422006,Rich honey gold for marketplaces and value-focused platforms
Cloud White,minimal clean saas dashboard,#3B82F6,#6366F1,#A5B4FC,#FFFFFF,#F8FAFC,#1E293B,Airy cloud white with blue accents for clean SaaS
Moss Green,garden agriculture plant natural,#15803D,#166534,#86EFAC,#F0FDF4,#FFFFFF,#052E16,Deep moss green for agriculture and garden brands
Burgundy Classic,wine dining upscale classic,#881337,#701A3A,#FCA5B0,#FFF5F7,#FFFFFF,#4A0520,Classic burgundy for upscale dining and wine
Pastel Rainbow,kids children playful colorful,#F472B6,#A78BFA,#34D399,#FFFBEB,#FFFFFF,#1F2937,Playful pastel rainbow for children-focused products
Ice Blue,medical clinical clean sterile,#38BDF8,#0EA5E9,#BAE6FD,#F0F9FF,#FFFFFF,#0C4A6E,Clinical ice blue for medical and sterile environments
Warm Gray,interior design furniture modern,#78716C,#57534E,#D6D3D1,#FAF9F7,#FFFFFF,#1C1917,Sophisticated warm gray for interior and furniture
Sunset Gradient,creative portfolio showcase artistic,#F97316,#EC4899,#8B5CF6,#FFF7ED,#FFFFFF,#1C1917,Multi-hue sunset gradient for creative portfolios
