rule_id,category,priority,keywords,description,do_this,avoid_this
spacing-scale,Layout,HIGH,spacing scale 4pt 8dp system,Use 4pt/8dp incremental spacing system,4 8 12 16 24 32 48 spacing tokens applied consistently,Random pixel values; inconsistent padding between similar components
bottom-nav-limit,Navigation,HIGH,bottom nav tab bar limit 5 items,Bottom navigation maximum 5 items with labels,3-5 tabs with icon + text label; highlight active state clearly,6+ tabs; icon-only bottom nav; hidden labels
back-behavior,Navigation,HIGH,back navigation predictable scroll state,Back navigation must be predictable and preserve state,Restore scroll position and filter state on back; consistent behavior,Unpredictable back destinations; losing form input on back; scroll reset
deep-linking,Navigation,HIGH,deep link url share notification,All key screens must be reachable via deep link,Implement URL scheme and universal links for key screens,Important screens unreachable via URL; broken deep links
duration-timing,Animation,MEDIUM,animation duration timing 150ms 300ms,Use 150-300ms for micro-interactions; max 400ms for complex,150ms for hover/toggle; 200-300ms for modal/slide; ease-out for enter,Animations >500ms; linear easing on UI; imperceptible fast animations
transform-performance,Animation,MEDIUM,transform opacity animate performance,Animate only transform and opacity for smooth 60fps,Use translateX/Y scale opacity for all animations,Animating width height top left margin; triggering layout reflow
loading-states,Animation,MEDIUM,loading skeleton progress indicator,Show skeleton or progress indicator for loads >300ms,Skeleton matching content layout; progress bar for determinate tasks,Spinner for every load; no loading state; blocking full screen
easing,Animation,MEDIUM,easing ease-out ease-in cubic-bezier,Use ease-out for entering and ease-in for exiting,ease-out for elements appearing; ease-in for dismissing; spring for natural,Linear easing on UI elements; same easing for enter and exit
input-labels,Forms,MEDIUM,input label visible form,Visible label per input field (not placeholder-only),Always pair input with visible label element above or beside it,Placeholder as only label; label disappearing on focus; hidden labels
error-placement,Forms,MEDIUM,error placement field below inline,Show validation error below the related input field,Inline error message below field with icon and recovery guidance,Errors only at form top; errors in toast; delayed error display
submit-feedback,Forms,MEDIUM,submit loading success error button,Show loading then success/error state on form submit,Disable button + spinner on submit; success checkmark or error message,No feedback after submit; allowing resubmission; silent failure
empty-states,Forms,MEDIUM,empty state no content placeholder,Helpful message and action when no content exists,Illustration + explanation + primary action CTA for empty views,Blank white screen; generic 'no data' text; no suggested action
toast-dismiss,Forms,MEDIUM,toast notification auto-dismiss snackbar,Auto-dismiss toasts in 3-5 seconds with manual dismiss,3s for info; 5s for actionable; always allow manual dismiss,Permanent toasts blocking content; too-fast dismiss (<2s)
confirmation-dialogs,Forms,MEDIUM,confirmation dialog destructive warning,Confirm before destructive or irreversible actions,Clear description of consequences; destructive action in red/danger color,Confirming routine actions; vague confirmation messages
line-height,Typography,MEDIUM,line-height spacing text readability,Use 1.5-1.75 line-height for body text,1.5 for UI text; 1.6-1.75 for long-form reading; tighter for headings,Line-height below 1.3 for body; too loose (>2.0) wasting space
font-scale,Typography,MEDIUM,font scale type size system hierarchy,Consistent typographic scale for hierarchy,Use a defined scale: 12 14 16 18 24 32 48; skip sizes intentionally,Random font sizes; too many size steps; no clear hierarchy
color-semantic,Typography,MEDIUM,semantic color token primary surface error,Define semantic color tokens not raw hex values,primary secondary error surface on-surface as design tokens,Hardcoded hex in components; inconsistent color usage across pages
chart-type,Charts,LOW,chart type data match trend comparison,Match chart type to data characteristics,Line for trends; bar for comparison; pie for proportion (max 5 slices),Wrong chart type obscuring data; pie with 10+ slices
legend-visible,Charts,LOW,legend chart visible positioned,Always show chart legend positioned near the data,Place legend adjacent to chart; allow toggling series via legend click,Hidden legend; legend below scroll fold; no legend at all
tooltip-on-interact,Charts,LOW,tooltip chart hover tap data label,Show exact values on hover (web) or tap (mobile),Tooltip with formatted value units and category on interaction,No tooltip; tooltip blocking other data points; tooltip off-screen
